X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,70,37.5,9.1-20.3,45.0,3.0-8.1,37.3,4.7-5.4,86.8,0.5,3.2,3.7,6.2,0.5,1.0,2.2,1.7,25.9
Home,36,37.3,9.1-20.1,45.0,3.2-8.3,39.1,4.8-5.4,89.2,0.5,3.3,3.8,6.3,0.5,0.9,2.1,1.9,26.1
Road,34,37.8,9.2-20.4,44.9,2.8-8.0,35.3,4.6-5.4,84.2,0.5,3.0,3.5,6.1,0.4,1.1,2.2,1.4,25.7
vs. Division,12,36.3,9.4-20.4,46.1,3.4-8.5,40.2,4.0-4.5,88.9,0.7,3.2,3.8,5.9,0.4,0.9,1.8,1.7,26.3
vs. Conference,46,37.2,9.2-20.7,44.6,3.2-8.4,37.7,4.3-5.1,85.5,0.5,3.4,3.9,6.5,0.5,1.0,2.1,1.5,26.0
3+ Days Rest,9,39.0,10.9-21.9,49.7,3.7-8.7,42.3,5.4-6.1,89.1,0.7,3.2,3.9,5.8,0.3,1.1,2.6,1.3,30.9
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,3,38.7,9.3-18.7,50.0,4.7-8.3,56.0,7.0-7.7,91.3,0.7,6.0,6.7,6.3,0.3,0.7,1.7,1.0,30.3
November,15,38.4,9.4-20.5,45.8,3.0-8.3,36.3,4.5-5.1,89.5,0.7,3.5,4.2,6.7,0.7,0.9,1.9,1.7,26.3
December,13,35.9,8.5-19.1,44.8,3.0-8.2,36.4,4.8-5.7,83.8,0.4,2.2,2.6,6.2,0.4,0.7,2.3,1.5,24.8
January,11,37.7,8.2-19.5,42.1,2.8-8.2,34.4,5.3-6.3,84.1,0.6,2.5,3.1,6.8,0.5,1.7,2.2,1.7,24.5
