X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
February,11,36.8,9.8-21.6,45.4,3.0-7.6,39.3,4.3-4.9,87.0,0.5,3.8,4.3,5.5,0.3,1.0,2.5,2.2,26.9
March,12,38.3,8.7-20.3,42.8,2.8-7.8,36.2,4.2-4.8,86.2,0.3,3.0,3.3,5.6,0.4,0.9,1.9,1.8,24.3
April,5,38.0,11.2-22.4,50.0,3.2-9.0,35.6,4.4-4.8,91.7,0.6,3.4,4.0,5.8,0.4,0.8,2.4,1.0,30.0
Pre All-Star,49,37.2,8.9-19.9,44.9,3.0-8.0,37.8,4.8-5.6,85.4,0.6,3.1,3.7,6.4,0.5,1.0,2.2,1.7,25.7
Post All-Star,21,38.1,9.5-21.1,45.0,3.0-8.3,36.0,4.5-5.0,90.4,0.4,3.3,3.8,5.6,0.4,1.0,2.0,1.6,26.5
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,43,37.7,9.4-19.8,47.6,3.4-8.1,41.7,4.9-5.5,89.5,0.6,3.4,4.0,6.3,0.5,0.8,2.2,1.4,27.1
Losses,27,37.3,8.6-21.0,41.0,2.5-8.2,30.3,4.3-5.2,82.3,0.4,2.8,3.3,6.0,0.4,1.2,2.1,2.0,24.0
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,70,37.5,9.1-20.3,45.0,3.0-8.1,37.3,4.7-5.4,86.8,0.5,3.2,3.7,6.2,0.5,1.0,2.2,1.7,25.9
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,11,36.6,8.2-18.4,44.6,3.5-8.3,41.8,3.7-4.5,82.0,0.4,2.8,3.2,7.4,0.3,0.5,2.9,1.9,23.5
Tuesday,6,37.0,8.8-20.2,43.8,3.3-8.5,39.2,4.3-5.5,78.8,0.5,2.7,3.2,5.7,0.3,0.8,1.7,1.7,25.3
Wednesday,13,36.8,8.5-20.0,42.7,2.3-7.7,30.0,3.4-4.0,84.6,0.5,3.5,4.1,5.9,0.5,0.8,2.4,2.2,22.8
Thursday,7,38.3,11.3-22.1,51.0,3.6-8.9,40.3,5.9-6.6,89.1,0.4,3.4,3.9,5.0,0.4,0.7,2.0,1.3,32.0
Friday,14,38.4,9.1-20.9,43.3,2.8-8.2,33.9,6.2-6.9,90.6,0.5,3.1,3.6,6.4,0.6,1.6,1.9,1.4,27.1
Saturday,11,36.5,8.2-19.1,42.9,2.8-7.7,36.5,3.9-4.8,81.1,0.5,3.2,3.7,6.5,0.5,1.0,1.8,1.4,23.1
Sunday,8,39.5,11.0-22.3,49.4,3.6-8.1,44.6,5.8-6.0,95.8,0.8,3.4,4.1,5.6,0.5,1.1,2.1,1.6,31.4
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,3,40.7,8.3-20.0,41.7,3.7-8.3,44.0,7.7-9.0,85.2,0.3,4.3,4.7,8.0,0.3,2.3,3.3,1.7,28.0
vs BKN,3,32.0,8.7-21.0,41.3,4.0-8.7,46.2,3.3-4.3,76.9,0.7,2.0,2.7,6.0,0.0,1.3,1.7,1.3,24.7
vs BOS,3,38.3,9.7-22.0,43.9,3.3-10.0,33.3,3.0-3.3,90.0,0.7,4.3,5.0,4.7,1.0,1.0,2.7,1.3,25.7
vs CHA,4,38.5,8.5-21.0,40.5,3.5-9.0,38.9,4.5-5.0,90.0,0.5,3.0,3.5,6.0,0.5,1.0,1.5,0.5,25.0
vs CHI,3,34.7,7.7-19.0,40.4,3.7-8.7,42.3,4.3-5.7,76.5,0.7,1.3,2.0,6.7,0.0,0.7,3.0,2.0,23.3
vs CLE,4,42.5,9.0-24.3,37.1,2.3-8.5,26.5,2.8-4.0,68.8,0.3,4.0,4.3,7.8,0.0,1.3,2.5,2.5,23.0
vs DAL,2,36.0,7.0-15.5,45.2,1.0-5.0,20.0,4.5-5.0,90.0,0.0,2.0,2.0,5.0,0.0,1.0,4.0,3.5,19.5
vs DEN,1,43.0,9.0-20.0,45.0,4.0-9.0,44.4,3.0-7.0,42.9,1.0,4.0,5.0,9.0,0.0,2.0,2.0,1.0,25.0
vs DET,3,33.0,6.0-16.0,37.5,1.0-6.3,15.8,6.0-6.7,90.0,0.3,3.3,3.7,8.0,0.3,1.7,1.7,0.7,19.0
vs GS,1,30.0,5.0-14.0,35.7,2.0-7.0,28.6,0.0-0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,12.0
vs HOU,2,38.5,10.5-22.0,47.7,4.0-9.5,42.1,9.5-10.0,95.0,0.5,2.0,2.5,5.5,0.5,0.0,2.5,1.5,34.5
vs IND,3,35.3,12.0-24.0,50.0,3.3-8.0,41.7,5.7-5.7,100.0,1.0,3.0,4.0,4.0,1.7,0.0,2.0,2.3,33.0
vs LAC,2,44.0,9.0-18.5,48.6,3.0-6.5,46.2,4.0-5.0,80.0,0.5,3.5,4.0,7.0,1.5,1.0,1.5,1.0,25.0
vs LAL,2,37.5,9.5-23.0,41.3,3.0-10.5,28.6,7.0-7.5,93.3,0.0,2.5,2.5,5.5,0.0,2.0,3.0,0.0,29.0
vs MEM,1,25.0,2.0-6.0,33.3,1.0-4.0,25.0,2.0-2.0,100.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,7.0
vs MIA,4,41.3,10.5-23.3,45.2,2.8-9.8,28.2,3.5-4.3,82.4,0.8,5.8,6.5,8.3,0.8,0.8,3.0,1.8,27.3
vs MIL,3,38.7,10.0-21.3,46.9,3.7-8.3,44.0,4.7-6.0,77.8,0.0,3.7,3.7,6.3,0.0,1.7,2.0,1.0,28.3
vs MIN,2,35.5,9.5-21.5,44.2,2.5-8.5,29.4,4.0-5.0,80.0,1.0,2.0,3.0,6.5,0.5,0.0,2.0,4.0,25.5
vs NO,1,38.0,13.0-25.0,52.0,3.0-10.0,30.0,4.0-4.0,100.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,4.0,33.0
vs NY,3,34.7,8.7-19.3,44.8,2.7-8.0,33.3,6.3-7.0,90.5,1.0,3.0,4.0,6.0,0.3,0.7,1.0,2.3,26.3
vs ORL,3,36.0,9.7-19.0,50.9,4.0-8.7,46.2,4.3-5.3,81.3,1.3,2.3,3.7,3.3,1.0,1.0,1.7,1.3,27.7
vs PHO,2,33.0,6.0-15.5,38.7,1.0-5.0,20.0,1.0-1.0,100.0,1.0,1.5,2.5,8.5,0.5,0.5,1.0,2.0,14.0
vs POR,1,35.0,6.0-14.0,42.9,4.0-8.0,50.0,10.0-10.0,100.0,1.0,9.0,10.0,4.0,0.0,0.0,1.0,2.0,26.0
vs SA,2,48.0,13.0-28.0,46.4,2.0-7.5,26.7,7.0-7.0,100.0,0.5,4.0,4.5,7.5,0.0,1.0,1.5,1.5,35.0
vs SAC,2,37.5,8.0-16.5,48.5,4.0-6.5,61.5,5.0-6.0,83.3,0.0,3.0,3.0,3.0,1.0,1.5,3.0,2.5,25.0
vs OKC,1,41.0,8.0-17.0,47.1,3.0-9.0,33.3,9.0-11.0,81.8,1.0,7.0,8.0,3.0,1.0,0.0,5.0,1.0,28.0
vs TOR,3,40.3,10.7-19.3,55.2,3.7-7.3,50.0,3.3-3.3,100.0,0.3,3.3,3.7,7.0,0.3,0.7,1.7,1.7,28.3
vs UTA,2,41.5,13.0-25.5,51.0,4.0-8.5,47.1,8.0-8.5,94.1,0.5,1.0,1.5,5.0,1.0,1.5,2.0,1.5,38.0
vs WAS,4,32.5,9.5-18.5,51.4,3.3-7.8,41.9,2.8-3.0,91.7,0.0,3.0,3.0,7.8,0.3,0.5,1.5,1.0,25.0
