X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,29,33.0,9.8-16.2,60.8,0.2-0.7,36.8,6.1-8.6,71.4,2.0,5.0,7.0,4.6,0.6,1.1,2.2,3.4,26.0
Home,14,33.8,10.1-15.5,65.0,0.3-0.4,66.7,6.9-9.9,69.6,1.4,4.7,6.1,4.1,0.7,1.2,2.1,3.5,27.3
Road,15,32.2,9.6-16.8,57.1,0.2-0.9,23.1,5.4-7.3,73.6,2.6,5.2,7.8,5.0,0.4,1.0,2.4,3.3,24.8
vs. Division,5,30.8,8.6-13.8,62.3,0.0-0.8,0.0,7.2-9.0,80.0,2.6,6.2,8.8,4.0,0.4,1.2,2.2,3.4,24.4
vs. Conference,19,32.8,9.8-16.0,61.5,0.3-0.8,33.3,6.2-8.5,73.3,1.8,5.1,6.8,4.7,0.6,0.9,2.4,3.4,26.2
3+ Days Rest,4,29.5,9.3-16.8,55.2,0.3-0.3,100.0,5.8-7.8,74.2,1.5,5.0,6.5,4.8,0.3,1.5,2.0,2.3,24.5
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,4,30.3,9.3-18.5,50.0,0.0-0.0,0.0,3.3-4.5,72.2,2.5,5.5,8.0,3.5,0.5,1.8,1.8,2.5,21.8
November,12,32.2,9.0-14.3,63.2,0.3-0.8,33.3,5.3-7.5,71.1,1.9,4.3,6.2,4.3,0.6,1.1,2.8,2.7,23.6
December,12,35.1,10.8-17.7,61.3,0.3-0.8,40.0,7.8-11.0,71.2,2.1,5.4,7.5,5.1,0.6,1.0,2.0,4.3,29.8
January,1,28.0,10.0-12.0,83.3,0.0-0.0,0.0,6.0-8.0,75.0,0.0,6.0,6.0,7.0,0.0,0.0,1.0,5.0,26.0
Pre All-Star,29,33.0,9.8-16.2,60.8,0.2-0.7,36.8,6.1-8.6,71.4,2.0,5.0,7.0,4.6,0.6,1.1,2.2,3.4,26.0
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,17,32.6,10.1-16.0,62.9,0.2-0.5,33.3,6.4-8.8,72.0,1.9,5.3,7.2,4.1,0.6,1.3,1.8,2.8,26.6
Losses,12,33.5,9.5-16.4,57.9,0.3-0.8,40.0,5.8-8.2,70.4,2.1,4.5,6.6,5.3,0.5,0.8,2.9,4.3,25.1
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,29,33.0,9.8-16.2,60.8,0.2-0.7,36.8,6.1-8.6,71.4,2.0,5.0,7.0,4.6,0.6,1.1,2.2,3.4,26.0
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,5,32.2,8.2-13.6,60.3,0.4-0.8,50.0,3.6-5.4,66.7,1.6,4.4,6.0,6.6,0.8,1.2,2.0,3.4,20.4
Tuesday,1,26.0,10.0-16.0,62.5,0.0-2.0,0.0,6.0-10.0,60.0,3.0,6.0,9.0,5.0,0.0,2.0,3.0,4.0,26.0
Wednesday,7,32.6,11.3-17.7,63.7,0.1-0.6,25.0,7.0-10.0,70.0,2.6,5.0,7.6,3.9,0.7,1.7,2.6,2.7,29.7
