X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
Thursday,2,36.5,10.5-19.0,55.3,1.0-1.0,100.0,8.0-11.5,69.6,3.0,4.0,7.0,5.5,1.0,0.5,3.0,3.0,30.0
Friday,6,31.7,9.2-15.3,59.8,0.0-0.3,0.0,6.2-8.5,72.5,1.7,5.0,6.7,3.7,0.2,1.0,1.5,2.3,24.5
Saturday,4,35.0,9.3-15.0,61.7,0.0-0.5,0.0,7.8-9.8,79.5,1.5,4.5,6.0,5.0,0.3,0.3,3.0,6.3,26.3
Sunday,4,34.8,10.5-17.8,59.2,0.5-0.8,66.7,5.0-7.0,71.4,1.8,6.3,8.0,3.8,0.8,1.0,1.8,3.5,26.5
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,1,37.0,11.0-20.0,55.0,0.0-1.0,0.0,7.0-10.0,70.0,2.0,6.0,8.0,4.0,0.0,0.0,2.0,7.0,29.0
vs BKN,1,30.0,11.0-22.0,50.0,0.0-0.0,0.0,3.0-4.0,75.0,3.0,6.0,9.0,3.0,0.0,4.0,3.0,2.0,25.0
vs CHA,1,31.0,7.0-19.0,36.8,0.0-0.0,0.0,2.0-4.0,50.0,2.0,3.0,5.0,3.0,0.0,1.0,0.0,3.0,16.0
vs CHI,1,31.0,6.0-11.0,54.5,0.0-0.0,0.0,7.0-8.0,87.5,4.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0,19.0
vs DEN,1,36.0,9.0-17.0,52.9,0.0-0.0,0.0,7.0-11.0,63.6,1.0,5.0,6.0,4.0,1.0,1.0,0.0,4.0,25.0
vs DET,1,33.0,11.0-16.0,68.8,0.0-0.0,0.0,7.0-11.0,63.6,2.0,8.0,10.0,5.0,1.0,1.0,1.0,4.0,29.0
vs GS,2,25.5,5.0-9.0,55.6,0.0-0.0,0.0,2.5-4.0,62.5,0.0,2.5,2.5,2.5,0.0,0.5,1.5,2.0,12.5
vs HOU,1,35.0,8.0-9.0,88.9,0.0-0.0,0.0,10.0-12.0,83.3,1.0,3.0,4.0,6.0,0.0,1.0,3.0,3.0,26.0
vs IND,1,34.0,10.0-15.0,66.7,2.0-3.0,66.7,4.0-6.0,66.7,3.0,4.0,7.0,7.0,1.0,2.0,4.0,1.0,26.0
vs LAC,1,31.0,9.0-17.0,52.9,0.0-0.0,0.0,3.0-4.0,75.0,3.0,9.0,12.0,7.0,0.0,1.0,1.0,1.0,21.0
vs LAL,1,37.0,11.0-21.0,52.4,0.0-1.0,0.0,5.0-8.0,62.5,2.0,3.0,5.0,7.0,0.0,0.0,5.0,3.0,27.0
vs MEM,2,29.0,6.0-14.0,42.9,0.0-0.0,0.0,5.0-6.0,83.3,2.0,5.0,7.0,2.5,0.0,0.5,3.0,5.0,17.0
vs MIL,1,40.0,7.0-16.0,43.8,0.0-0.0,0.0,4.0-8.0,50.0,3.0,4.0,7.0,7.0,0.0,3.0,1.0,5.0,18.0
vs MIN,1,34.0,14.0-21.0,66.7,1.0-1.0,100.0,14.0-19.0,73.7,0.0,3.0,3.0,5.0,1.0,1.0,3.0,4.0,43.0
vs PHI,2,29.5,11.5-15.5,74.2,0.0-0.0,0.0,8.0-12.0,66.7,1.0,4.5,5.5,4.5,0.0,0.0,2.0,4.0,31.0
vs PHO,3,39.3,13.0-17.7,73.6,0.7-1.3,50.0,6.7-8.7,76.9,0.7,5.3,6.0,5.3,0.3,0.7,2.3,4.3,33.3
vs POR,1,32.0,9.0-14.0,64.3,1.0-1.0,100.0,10.0-15.0,66.7,1.0,5.0,6.0,3.0,0.0,1.0,4.0,3.0,29.0
vs SA,2,30.0,11.5-16.0,71.9,0.0-2.0,0.0,8.0-10.5,76.2,4.0,9.0,13.0,4.5,1.0,2.0,1.0,2.0,31.0
vs OKC,1,35.0,11.0-18.0,61.1,0.0-1.0,0.0,1.0-1.0,100.0,2.0,6.0,8.0,8.0,3.0,1.0,3.0,4.0,23.0
vs TOR,1,37.0,12.0-15.0,80.0,0.0-0.0,0.0,9.0-12.0,75.0,3.0,7.0,10.0,5.0,2.0,4.0,2.0,4.0,33.0
vs UTA,3,32.3,10.7-18.7,57.1,0.3-1.0,33.3,5.7-8.0,70.8,3.3,4.3,7.7,4.7,1.3,1.0,2.7,3.7,27.3
