X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
vs DET,2,28.0,7.0-14.5,48.3,1.5-6.5,23.1,4.0-4.5,88.9,0.0,0.5,0.5,2.0,0.0,1.0,2.0,1.0,19.5
vs GS,1,39.0,7.0-16.0,43.8,4.0-8.0,50.0,3.0-3.0,100.0,0.0,4.0,4.0,5.0,0.0,1.0,4.0,1.0,21.0
vs HOU,1,35.0,10.0-16.0,62.5,4.0-8.0,50.0,2.0-2.0,100.0,1.0,4.0,5.0,6.0,0.0,2.0,2.0,1.0,26.0
vs IND,4,36.8,7.3-14.5,50.0,3.5-6.8,51.9,2.0-2.0,100.0,0.8,1.5,2.3,4.5,0.0,1.0,1.8,0.5,20.0
vs LAC,1,28.0,7.0-12.0,58.3,3.0-5.0,60.0,5.0-5.0,100.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,22.0
vs LAL,1,33.0,6.0-13.0,46.2,1.0-5.0,20.0,3.0-4.0,75.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,16.0
vs MEM,1,37.0,6.0-18.0,33.3,0.0-6.0,0.0,4.0-4.0,100.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,16.0
vs MIA,2,32.5,9.0-16.5,54.5,4.0-7.0,57.1,3.0-3.5,85.7,0.0,2.5,2.5,4.5,0.0,0.5,4.5,1.0,25.0
vs MIL,4,32.8,8.0-13.0,61.5,2.8-4.8,57.9,4.8-5.5,86.4,0.3,3.0,3.3,1.8,0.3,0.5,1.3,1.0,23.5
vs MIN,1,31.0,9.0-16.0,56.3,4.0-7.0,57.1,5.0-5.0,100.0,0.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,27.0
vs NO,2,22.5,4.5-12.0,37.5,1.0-4.0,25.0,0.5-1.0,50.0,0.0,1.0,1.0,1.5,0.0,0.0,1.5,2.0,10.5
vs NY,3,32.0,7.7-17.7,43.4,3.0-7.3,40.9,5.0-5.7,88.2,0.3,1.0,1.3,3.0,0.0,1.3,3.0,1.7,23.3
vs ORL,2,29.5,3.0-10.0,30.0,0.5-4.5,11.1,2.5-3.0,83.3,0.0,1.0,1.0,2.0,0.0,0.5,3.0,1.0,9.0
vs PHO,2,38.0,9.0-18.5,48.6,3.5-7.5,46.7,2.5-4.5,55.6,0.5,5.5,6.0,4.5,0.5,0.5,0.5,2.5,24.0
vs POR,2,32.0,6.0-10.0,60.0,1.0-3.5,28.6,1.0-1.0,100.0,0.5,2.5,3.0,2.0,0.0,1.0,1.0,0.0,14.0
vs SA,2,33.5,8.0-16.5,48.5,3.0-6.0,50.0,6.0-8.0,75.0,1.5,1.5,3.0,5.0,0.5,1.0,1.5,1.5,25.0
vs SAC,1,41.0,12.0-29.0,41.4,2.0-8.0,25.0,6.0-6.0,100.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,32.0
vs OKC,1,33.0,6.0-13.0,46.2,0.0-4.0,0.0,5.0-5.0,100.0,1.0,1.0,2.0,6.0,0.0,2.0,4.0,3.0,17.0
vs TOR,3,40.0,10.7-16.3,65.3,5.0-8.0,62.5,3.0-3.7,81.8,0.3,4.0,4.3,5.3,0.3,1.0,1.7,2.0,29.3
vs UTA,2,37.5,7.5-22.0,34.1,3.5-9.5,36.8,1.0-1.0,100.0,0.5,2.5,3.0,2.0,0.5,2.0,3.0,1.0,19.5
vs WAS,3,35.3,8.7-17.0,51.0,3.0-6.7,45.0,2.3-3.3,70.0,0.0,2.0,2.0,2.7,0.0,0.3,2.3,1.3,22.7
