X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
vs GS,2,32.0,5.5-12.5,44.0,2.5-6.0,41.7,2.0-2.5,80.0,0.0,1.5,1.5,11.0,2.0,2.5,0.5,2.0,15.5
vs HOU,2,33.5,10.5-18.0,58.3,4.5-9.5,47.4,0.0-1.0,0.0,0.5,3.5,4.0,8.5,1.0,1.0,0.5,2.5,25.5
vs LAC,2,31.0,5.0-12.0,41.7,3.5-7.0,50.0,1.0-1.5,66.7,0.0,1.5,1.5,10.0,0.0,1.0,1.5,3.5,14.5
vs LAL,2,33.0,6.0-14.0,42.9,2.5-7.0,35.7,2.0-2.0,100.0,0.5,6.5,7.0,9.0,0.0,2.0,1.5,1.5,16.5
vs MEM,1,38.0,7.0-19.0,36.8,2.0-12.0,16.7,1.0-2.0,50.0,0.0,4.0,4.0,14.0,0.0,0.0,2.0,4.0,17.0
vs MIA,2,36.5,9.0-19.0,47.4,4.0-11.5,34.8,6.0-8.0,75.0,0.0,3.0,3.0,9.0,1.5,1.5,1.0,2.5,28.0
vs MIL,5,35.2,10.0-18.8,53.2,3.0-8.0,37.5,4.0-4.4,90.9,1.2,4.6,5.8,11.0,1.2,0.4,0.6,1.4,27.0
vs MIN,1,37.0,9.0-15.0,60.0,2.0-7.0,28.6,3.0-4.0,75.0,0.0,3.0,3.0,13.0,0.0,1.0,1.0,5.0,23.0
vs NO,2,28.5,3.5-11.0,31.8,1.5-7.0,21.4,0.0-0.0,0.0,0.0,3.0,3.0,8.0,0.5,0.5,0.0,1.0,8.5
vs NY,3,29.3,7.0-13.7,51.2,2.7-8.3,32.0,3.0-3.3,90.0,0.3,3.7,4.0,13.3,1.3,0.7,0.3,1.3,19.7
vs ORL,3,33.7,7.3-17.0,43.1,1.7-4.7,35.7,4.0-4.3,92.3,0.0,3.7,3.7,8.7,0.3,1.0,2.0,3.7,20.3
vs PHI,2,37.5,10.0-16.0,62.5,5.0-9.0,55.6,4.0-4.5,88.9,0.5,3.5,4.0,16.0,1.0,2.0,0.5,0.0,29.0
vs POR,2,35.5,8.5-15.5,54.8,2.5-6.5,38.5,7.5-9.0,83.3,0.0,2.0,2.0,13.0,0.0,0.0,1.0,1.5,27.0
vs SA,2,31.5,6.5-17.5,37.1,1.5-6.5,23.1,3.0-3.0,100.0,1.5,2.5,4.0,8.0,1.0,0.5,0.5,1.5,17.5
vs SAC,1,22.0,6.0-10.0,60.0,1.0-3.0,33.3,1.0-1.0,100.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,14.0
vs OKC,2,35.5,5.5-11.5,47.8,2.0-6.0,33.3,0.0-0.0,0.0,0.0,3.0,3.0,11.5,1.0,1.5,0.5,3.0,13.0
vs TOR,4,33.0,7.5-15.5,48.4,3.5-8.3,42.4,4.8-6.5,73.1,0.3,2.8,3.0,10.0,0.5,1.5,1.8,1.8,23.3
vs UTA,1,31.0,6.0-12.0,50.0,1.0-6.0,16.7,3.0-3.0,100.0,1.0,5.0,6.0,13.0,0.0,1.0,0.0,2.0,16.0
vs WAS,2,27.5,8.0-16.5,48.5,2.0-6.0,33.3,1.5-1.5,100.0,0.5,2.0,2.5,11.0,1.0,0.5,1.5,3.5,19.5
