X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
vs MEM,1,35.0,7.0-23.0,30.4,4.0-13.0,30.8,5.0-5.0,100.0,1.0,3.0,4.0,12.0,0.0,1.0,2.0,1.0,23.0
vs MIA,3,35.0,6.3-18.7,33.9,3.3-12.7,26.3,1.7-2.7,62.5,0.3,6.3,6.7,8.7,0.3,0.7,3.3,5.3,17.7
vs MIL,2,38.0,9.0-23.5,38.3,5.0-11.0,45.5,2.5-3.5,71.4,3.0,3.5,6.5,11.5,2.0,2.5,3.0,2.0,25.5
vs MIN,1,40.0,11.0-21.0,52.4,5.0-9.0,55.6,5.0-5.0,100.0,2.0,8.0,10.0,8.0,0.0,2.0,1.0,3.0,32.0
vs ORL,2,36.0,9.5-21.5,44.2,5.0-14.0,35.7,1.0-1.5,66.7,1.0,5.0,6.0,7.5,0.5,2.0,2.0,4.5,25.0
vs POR,1,36.0,10.0-26.0,38.5,4.0-10.0,40.0,3.0-4.0,75.0,3.0,4.0,7.0,7.0,0.0,2.0,6.0,3.0,27.0
vs SA,1,39.0,10.0-26.0,38.5,5.0-15.0,33.3,3.0-3.0,100.0,3.0,9.0,12.0,10.0,0.0,1.0,3.0,4.0,28.0
vs SAC,1,27.0,9.0-19.0,47.4,5.0-10.0,50.0,0.0-0.0,0.0,1.0,4.0,5.0,12.0,0.0,0.0,6.0,2.0,23.0
vs OKC,1,36.0,9.0-15.0,60.0,5.0-10.0,50.0,4.0-4.0,100.0,2.0,8.0,10.0,9.0,2.0,1.0,3.0,3.0,27.0
vs TOR,2,39.5,10.0-20.5,48.8,4.0-9.5,42.1,4.0-5.5,72.7,1.0,3.0,4.0,10.5,0.0,1.0,4.0,3.5,28.0
vs WAS,1,36.0,6.0-16.0,37.5,4.0-7.0,57.1,0.0-0.0,0.0,1.0,5.0,6.0,4.0,0.0,0.0,5.0,3.0,16.0
