X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
February,11,36.0,11.1-22.9,48.4,3.0-8.5,35.5,5.8-7.0,83.1,0.3,5.5,5.7,4.9,0.6,1.5,1.9,2.5,31.0
March,15,35.7,9.1-20.6,44.3,1.9-6.4,29.2,4.1-5.4,76.5,1.0,5.6,6.6,5.1,0.8,1.3,1.4,2.8,24.3
April,8,33.6,7.9-18.0,43.8,2.3-7.3,31.0,6.4-7.0,91.1,0.8,3.6,4.4,4.9,0.1,1.4,1.6,2.4,24.4
Pre All-Star,52,35.0,9.1-19.3,47.1,2.6-6.7,38.6,5.5-6.5,84.1,0.6,4.7,5.2,5.3,0.5,1.2,2.0,3.3,26.3
Post All-Star,27,35.3,9.1-20.5,44.3,2.1-6.9,30.3,5.1-6.2,82.6,0.8,5.0,5.9,4.9,0.6,1.4,1.4,2.7,25.3
Result,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Wins,54,34.3,9.3-19.6,47.3,2.4-6.8,35.1,5.3-6.3,84.2,0.5,4.5,5.0,5.2,0.5,1.4,1.8,2.9,26.3
Losses,25,36.7,8.6-19.9,43.5,2.5-6.7,37.1,5.4-6.6,82.3,1.0,5.4,6.4,4.9,0.6,1.0,1.8,3.4,25.2
Position,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
As Starter,78,35.1,9.2-19.8,46.1,2.4-6.8,35.7,5.4-6.4,83.8,0.7,4.8,5.5,5.1,0.5,1.3,1.8,3.1,26.1
Day,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Monday,10,37.5,9.9-19.5,50.8,2.2-7.2,30.6,4.3-4.8,89.6,0.3,6.0,6.3,6.3,0.6,1.1,2.3,2.7,26.3
Tuesday,11,34.8,10.4-21.5,48.1,2.9-7.4,39.5,5.8-7.1,82.1,0.7,5.5,6.2,4.4,0.4,1.5,1.8,3.4,29.5
Wednesday,16,34.8,8.4-19.8,42.3,2.5-6.4,38.8,5.6-6.4,88.2,0.9,3.9,4.8,4.8,0.4,0.9,1.4,2.7,24.9
Thursday,8,36.0,10.3-22.4,45.8,2.8-7.3,37.9,6.3-8.3,75.8,0.5,3.6,4.1,5.9,0.6,1.9,1.8,2.9,29.5
Friday,13,31.5,6.2-16.8,37.0,1.2-5.8,21.3,5.4-6.2,87.5,0.7,4.4,5.1,4.2,0.5,1.4,1.8,2.8,19.1
Saturday,10,36.0,10.7-19.7,54.3,3.5-7.0,50.0,3.7-5.1,72.5,0.2,5.0,5.2,5.9,0.8,1.1,1.9,3.7,28.6
Sunday,11,36.5,9.2-19.5,47.2,2.1-6.6,31.5,6.3-7.4,85.2,1.1,5.5,6.5,5.3,0.6,1.4,1.7,3.4,26.7
Opponent,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
vs ATL,2,32.5,8.5-16.5,51.5,2.5-6.5,38.5,3.0-3.5,85.7,0.0,4.5,4.5,5.5,0.0,1.5,4.0,4.0,22.5
vs BKN,2,37.0,9.5-23.0,41.3,2.0-5.0,40.0,5.5-7.5,73.3,0.0,4.5,4.5,3.0,0.5,1.5,1.5,2.0,26.5
vs BOS,2,42.0,13.0-25.0,52.0,2.5-7.0,35.7,5.0-5.5,90.9,0.0,7.5,7.5,5.0,0.0,0.5,3.0,4.0,33.5
vs CHA,1,37.0,3.0-11.0,27.3,1.0-5.0,20.0,2.0-2.0,100.0,0.0,5.0,5.0,11.0,0.0,0.0,1.0,1.0,9.0
vs CHI,2,40.0,10.5-23.0,45.7,2.5-7.0,35.7,6.5-8.5,76.5,1.0,10.5,11.5,5.0,1.0,1.0,3.0,5.5,30.0
vs CLE,2,38.5,6.5-22.0,29.5,0.5-4.0,12.5,4.0-4.5,88.9,1.5,7.5,9.0,4.0,0.5,0.5,2.0,4.0,17.5
vs DAL,4,34.8,8.0-18.5,43.2,2.5-5.5,45.5,6.0-8.3,72.7,1.5,3.5,5.0,5.8,0.5,2.0,2.0,3.8,24.5
vs DEN,4,36.0,9.5-19.8,48.1,1.5-6.5,23.1,5.5-6.8,81.5,0.5,3.5,4.0,4.5,0.0,1.8,1.3,2.5,26.0
vs DET,2,31.5,7.0-17.5,40.0,2.0-6.0,33.3,2.0-3.0,66.7,0.5,3.5,4.0,6.5,0.0,0.5,1.5,3.0,18.0
vs GS,3,37.3,8.3-20.3,41.0,2.7-7.7,34.8,6.0-7.7,78.3,0.3,5.0,5.3,6.3,0.0,1.7,0.7,3.7,25.3
vs HOU,3,34.0,8.0-18.3,43.6,2.0-6.3,31.6,7.7-8.3,92.0,0.7,4.0,4.7,3.0,0.3,1.7,2.0,4.0,25.7
vs IND,2,36.0,16.0-29.0,55.2,5.0-8.5,58.8,3.5-5.0,70.0,1.0,3.0,4.0,3.5,1.0,2.5,2.0,2.0,40.5
vs LAC,4,36.0,10.5-20.8,50.6,2.0-8.3,24.2,7.0-7.8,90.3,0.8,6.5,7.3,5.0,0.0,1.8,1.8,2.8,30.0
vs LAL,4,37.8,9.5-21.3,44.7,2.3-7.8,29.0,6.0-7.0,85.7,0.3,4.3,4.5,5.8,1.5,1.5,1.5,3.0,27.3
vs MEM,4,28.0,7.5-13.8,54.5,0.8-4.0,18.8,5.8-6.0,95.8,0.0,3.0,3.0,4.3,0.5,0.3,2.0,2.0,21.5
vs MIA,2,36.5,10.0-20.0,50.0,2.5-7.0,35.7,3.0-3.0,100.0,0.0,5.0,5.0,6.0,1.0,1.5,2.0,1.5,25.5
vs MIL,2,37.0,9.5-23.5,40.4,4.0-11.5,34.8,4.0-6.0,66.7,0.0,6.0,6.0,7.0,0.0,1.0,2.5,1.5,27.0
vs NO,3,33.3,10.0-21.0,47.6,3.7-8.3,44.0,4.3-5.0,86.7,0.7,2.7,3.3,5.7,1.0,1.3,2.7,4.0,28.0
vs NY,2,38.5,10.0-21.0,47.6,2.5-7.5,33.3,6.5-7.0,92.9,1.0,6.0,7.0,3.5,1.0,1.0,1.0,3.5,29.0
vs ORL,2,30.5,5.5-12.5,44.0,1.0-5.0,20.0,2.0-3.0,66.7,0.5,2.0,2.5,4.0,0.0,0.5,2.0,4.0,14.0
vs PHI,2,36.0,10.0-21.0,47.6,3.5-7.5,46.7,5.5-6.0,91.7,1.5,5.0,6.5,5.5,0.0,1.0,2.0,1.5,29.0
vs PHO,3,32.7,4.3-14.0,31.0,1.0-3.7,27.3,4.7-5.0,93.3,1.7,4.3,6.0,3.7,0.7,1.7,2.0,3.3,14.3
vs POR,4,32.3,9.0-16.8,53.7,2.0-5.3,38.1,4.3-5.3,81.0,0.3,4.0,4.3,5.3,0.8,1.5,1.5,1.3,24.3
vs SA,4,36.3,9.5-21.3,44.7,3.5-7.8,45.2,5.3-6.8,77.8,1.3,5.0,6.3,7.0,0.8,2.0,0.8,3.8,27.8
vs SAC,3,32.3,7.7-19.7,39.0,2.0-8.0,25.0,9.3-9.7,96.6,0.0,4.7,4.7,5.7,1.3,1.0,1.0,3.3,26.7
vs OKC,4,35.0,7.5-15.5,48.4,2.3-4.8,47.4,5.8-8.3,69.7,0.3,5.0,5.3,4.0,0.3,0.5,2.8,3.8,23.0
vs TOR,2,34.0,9.0-25.0,36.0,4.5-9.5,47.4,4.5-5.5,81.8,2.5,6.0,8.5,3.5,0.0,1.0,0.5,1.0,27.0
vs UTA,3,36.3,12.7-20.7,61.3,3.0-6.3,47.4,3.0-4.0,75.0,0.7,7.7,8.3,6.3,1.7,1.7,1.0,4.3,31.3
vs WAS,2,36.0,14.0-28.5,49.1,4.5-11.5,39.1,12.0-12.5,96.0,1.0,3.5,4.5,6.0,0.0,0.5,2.0,3.0,44.5
