X1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,79,35.1,9.1-19.7,46.1,2.4-6.7,35.7,5.4-6.4,83.6,0.7,4.8,5.4,5.1,0.5,1.3,1.8,3.1,25.9
Home,40,34.8,8.6-18.4,46.7,2.3-6.4,35.5,5.7-6.8,83.1,0.5,5.0,5.4,5.0,0.5,1.3,1.5,3.2,25.1
Road,39,35.4,9.6-21.1,45.5,2.5-7.1,35.9,5.1-6.0,84.2,0.8,4.6,5.5,5.3,0.6,1.3,2.1,2.9,26.8
vs. Division,15,34.8,9.5-18.0,52.6,2.1-5.7,37.6,4.7-6.2,76.3,0.4,4.9,5.3,4.9,0.6,1.3,1.7,2.9,25.8
vs. Conference,50,34.5,8.7-18.6,46.9,2.2-6.4,34.4,5.7-6.9,83.7,0.6,4.5,5.1,5.2,0.6,1.4,1.6,3.2,25.4
3+ Days Rest,6,35.8,7.5-21.3,35.2,2.7-7.5,35.6,4.7-5.8,80.0,1.3,6.8,8.2,6.0,0.7,1.3,1.7,3.0,22.3
Month,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
October,3,36.3,9.3-21.0,44.4,4.0-6.7,60.0,2.7-3.0,88.9,1.7,5.3,7.0,5.0,0.0,0.3,2.7,3.0,25.3
November,14,34.8,9.2-19.6,46.9,2.2-6.7,33.0,5.8-6.7,86.2,0.6,5.1,5.6,5.0,0.6,1.5,1.8,3.3,26.4
December,11,33.9,8.5-19.4,44.1,2.5-6.8,37.3,6.1-7.5,80.7,0.4,4.3,4.6,5.5,0.8,1.5,1.7,3.4,25.7
January,17,35.4,8.5-17.8,48.0,2.4-5.6,41.7,5.3-6.2,84.9,0.6,4.2,4.8,5.4,0.3,0.8,2.0,3.6,24.7
